PeakID (cmd=annotatePeaks.pl PPARg_exPPARg_RIPA_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-64	chr5	53430219	53430392	+	17.6	0.000	Intergenic	Intergenic	-125474	NM_001080928	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBP-Jkappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
chr2-98	chr2	167374835	167375008	+	17.6	0.000	Intergenic	Intergenic	-25743	NM_019835	56336	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding
chr2-109	chr2	60878066	60878239	+	17.6	0.000	intron (NM_020296, intron 1 of 13)	intron (NM_020296, intron 1 of 13)	3286	NM_001141932	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding
chr11-191	chr11	70138328	70138501	+	17.6	0.000	TTS (NM_145137)	TTS (NM_145137)	8057	NM_145137	216864	Mm.222465	NM_145137	ENSMUSG00000040950	Mgl2	CD301b	macrophage galactose N-acetyl-galactosamine specific lectin 2	protein-coding
chr14-44	chr14	55777333	55777506	+	17.6	0.000	intron (NM_080435, intron 11 of 25)	intron (NM_080435, intron 11 of 25)	6600	NM_080435	104110	Mm.287010	NM_080435	ENSMUSG00000022220	Adcy4	mKIAA4004	adenylate cyclase 4	protein-coding
chr17-89	chr17	50594903	50595076	+	17.6	0.000	intron (NM_013880, intron 1 of 5)	Lx4A|LINE|L1	85442	NM_013880	224860	Mm.217362	NM_013880	ENSMUSG00000038910	Plcl2	PLC-L2|PRIP-2|Plce2|mKIAA1092	phospholipase C-like 2	protein-coding
chr2-249	chr2	4649770	4649943	+	17.6	0.000	intron (NM_026045, intron 1 of 9)	intron (NM_026045, intron 1 of 9)	2230	NM_026045	67229	Mm.38529	NM_026045	ENSMUSG00000039449	Prpf18	2810441A10Rik	PRP18 pre-mRNA processing factor 18 homolog (yeast)	protein-coding
chr13-52	chr13	63223630	63223803	+	17.6	0.000	intron (NM_001289926, intron 11 of 15)	intron (NM_001289926, intron 11 of 15)	-16313	NR_110520	72061	Mm.188105	NM_028079	ENSMUSG00000021458	2010111I01Rik	2300006M17Rik|AP-O|Aopep|mir-23b|mir-24-1|mir-27b	RIKEN cDNA 2010111I01 gene	protein-coding
chr11-155	chr11	75154329	75154502	+	17.6	0.000	intron (NM_001002764, intron 15 of 18)	intron (NM_001002764, intron 15 of 18)	13737	NM_001098203	15248	Mm.57250	NM_010430	ENSMUSG00000043099	Hic1	AA408311|HIC-1	hypermethylated in cancer 1	protein-coding
chr13-88	chr13	67754702	67754875	+	17.6	0.000	non-coding (NR_027969, exon 3 of 3)	non-coding (NR_027969, exon 3 of 3)	346	NM_001001130	22746	Mm.288396	NM_001001130	ENSMUSG00000058331	Zfp85	KRAB19|Rslcan2|Zfp71|Zfp85-rs1	zinc finger protein 85	protein-coding
chr17-123	chr17	34007994	34008167	+	17.6	0.000	Intergenic	RLTR12A|LTR|ERVK	-7747	NM_001001892	14972	Mm.422886	NM_001001892	ENSMUSG00000061232	H2-K1	H-2K|H-2K(d)|H2-K|K-f	histocompatibility 2, K1, K region	protein-coding
chr11-114	chr11	54428328	54428501	+	17.6	0.000	Intergenic	RSINE1|SINE|B4	-9765	NM_173753	216742	Mm.34087	NM_173753	ENSMUSG00000035992	Fnip1	A730024A03Rik|AI838773|AW557298	folliculin interacting protein 1	protein-coding
chr7-174	chr7	90062080	90062253	+	17.6	0.000	Intergenic	Intergenic	33007	NR_110364	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
chr7-67	chr7	143843996	143844169	+	17.6	0.000	intron (NM_007856, intron 7 of 8)	(CATA)n|Simple_repeat|Simple_repeat	20915	NM_007856	13360	Mm.249342	NM_007856	ENSMUSG00000058454	Dhcr7	AA409147	7-dehydrocholesterol reductase	protein-coding
chr6-182	chr6	50317250	50317423	+	17.6	0.000	intron (NM_001163645, intron 15 of 21)	(TG)n|Simple_repeat|Simple_repeat	-55567	NM_018769	54722	Mm.248361	NM_018769	ENSMUSG00000029821	Dfna5	2310037D07Rik|4932441K13Rik|Dfna5h|EG14210|Fin15	deafness, autosomal dominant 5 (human)	protein-coding
chr1-60	chr1	153749821	153749994	+	17.6	0.000	intron (NM_011882, intron 1 of 8)	intron (NM_011882, intron 1 of 8)	481	NM_011882	24014	Mm.259254	NM_011882	ENSMUSG00000066800	Rnasel	E230029I04Rik	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)	protein-coding
chr4-58	chr4	117126762	117126935	+	17.6	0.000	promoter-TSS (NM_175030)	promoter-TSS (NM_175030)	35	NM_175030	242646	Mm.358914	NM_175030	ENSMUSG00000047671	Tctex1d4	4833401D15Rik	Tctex1 domain containing 4	protein-coding
chr4-113	chr4	37878281	37878454	+	17.6	0.000	Intergenic	Lx10|LINE|L1	-926623	NM_001165999	242384	Mm.132507	NM_175516	ENSMUSG00000045083	Lingo2	B230217C06Rik|Lern3|Lrrn6c	leucine rich repeat and Ig domain containing 2	protein-coding
chr4-73	chr4	62409848	62410021	+	17.6	0.000	intron (NM_027297, intron 2 of 13)	intron (NM_027297, intron 2 of 13)	1151	NM_027297	70052	Mm.30660	NM_027297	ENSMUSG00000066148	Prpf4	1600015H11Rik|AI874830|AW047464|bN189G18.1	PRP4 pre-mRNA processing factor 4 homolog (yeast)	protein-coding
chr3-131	chr3	51637474	51637647	+	17.6	0.000	Intergenic	RCHARR1|DNA|hAT-Charlie	-23633	NM_174995	211666	Mm.24679	NM_174995	ENSMUSG00000074604	Mgst2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
chr11-224	chr11	96435038	96435211	+	17.6	0.000	Intergenic	MLT1A0|LTR|ERVL-MaLR	29423	NR_033524	100038600	Mm.483549	NR_033524		Gm11529	OTTMUSG00000001775	predicted gene 11529	ncRNA
chr1-208	chr1	14858826	14858999	+	17.6	0.000	Intergenic	Intergenic	59950	NM_177781	277328	Mm.186329	NM_177781	ENSMUSG00000032769	Trpa1	Anktm1|TRPA1b	transient receptor potential cation channel, subfamily A, member 1	protein-coding
chr17-52	chr17	80717720	80717893	+	17.6	0.000	intron (NM_001290345, intron 1 of 33)	intron (NM_001290345, intron 1 of 33)	10219	NM_001290345	225028	Mm.311948	NM_001081357	ENSMUSG00000024242	Map4k3	4833416M01Rik|4833416M07Rik|9530052P13Rik|Glk|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding
chr1-65	chr1	161337347	161337520	+	17.6	0.000	Intergenic	Intergenic	-58005	NM_009452	22164	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding
chr6-133	chr6	37759691	37759864	+	17.6	0.000	Intergenic	RMER15|LTR|ERVL	-111034	NM_145076	21848	Mm.41063	NM_145076		Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
chr2-211	chr2	152787500	152787673	+	17.6	0.000	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	33413	NM_053091	84682	Mm.196668	NM_053091	ENSMUSG00000009876	Cox4i2	Cox4b|CoxIV-2	cytochrome c oxidase subunit IV isoform 2	protein-coding
chr15-144	chr15	10392355	10392528	+	17.6	0.000	intron (NM_001031851, intron 10 of 13)	intron (NM_001031851, intron 10 of 13)	33862	NM_001031851	268782	Mm.482244	NM_001031851	ENSMUSG00000089678	Agxt2	AI303810|AI663818	alanine-glyoxylate aminotransferase 2	protein-coding
chr17-131	chr17	28698274	28698447	+	17.6	0.000	intron (NM_001168514, intron 2 of 12)	intron (NM_001168514, intron 2 of 12)	5792	NM_001168513	26416	Mm.311337	NM_011951	ENSMUSG00000053436	Mapk14	CSBP2|Crk1|Csbp1|Mxi2|PRKM14|PRKM15|p38|p38-alpha|p38MAPK|p38a|p38alpha	mitogen-activated protein kinase 14	protein-coding
chr10-94	chr10	53395595	53395768	+	17.6	0.000	Intergenic	Intergenic	-15830	NM_001204983	100038725	Mm.441403	NM_001204983	ENSMUSG00000038594	Cep85l	ENSMUSG00000038594|Gm9766	centrosomal protein 85-like	protein-coding
chr18-65	chr18	50065522	50065695	+	17.6	0.000	intron (NM_134131, intron 1 of 1)	MTD|LTR|ERVL-MaLR	12326	NM_134131	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
chr4-135	chr4	123550922	123551095	+	17.6	0.000	intron (NM_001199136, intron 2 of 97)	intron (NM_001199136, intron 2 of 97)	-65412	NR_105824	102465214		NR_105824	ENSMUSG00000099005	Mir6398	Gm27657|mmu-mir-6398	microRNA 6398	ncRNA
chr4-41	chr4	32424590	32424763	+	17.6	0.000	intron (NM_001109661, intron 1 of 4)	intron (NM_001109661, intron 1 of 4)	7241	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
chr4-50	chr4	132930857	132931030	+	17.6	0.000	Intergenic	Intergenic	-8392	NM_145553	230789	Mm.11473	NM_145553	ENSMUSG00000028878	Fam76a	-	family with sequence similarity 76, member A	protein-coding
chr2-192	chr2	150756917	150757090	+	17.6	0.000	intron (NM_172117, intron 3 of 13)	intron (NM_172117, intron 3 of 13)	7922	NM_172117	12497	Mm.275524	NM_172117	ENSMUSG00000033068	Entpd6	2700026H11Rik|Cd39l2|NTPDase-6	ectonucleoside triphosphate diphosphohydrolase 6	protein-coding
chr7-91	chr7	88346176	88346349	+	17.6	0.000	Intergenic	Intergenic	68169	NM_009982	13032	Mm.89295	NM_009982	ENSMUSG00000030560	Ctsc	AI047818|CatC|DPP1|DPPI	cathepsin C	protein-coding
chr1-135	chr1	161376227	161376400	+	17.6	0.000	Intergenic	MIRb|SINE|MIR	-19125	NM_009452	22164	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding
chr7-159	chr7	35232412	35232585	+	17.6	0.000	Intergenic	Charlie1b|DNA|hAT-Charlie	-17153	NM_001024707	435965	Mm.333783	NM_001024707	ENSMUSG00000001802	Lrp3	-	low density lipoprotein receptor-related protein 3	protein-coding
chr2-169	chr2	38475028	38475201	+	17.6	0.000	Intergenic	L1MC2|LINE|L1	-36583	NM_021606	59126	Mm.143818	NM_021606	ENSMUSG00000026749	Nek6	1300007C09Rik	NIMA (never in mitosis gene a)-related expressed kinase 6	protein-coding
chr14-98	chr14	86867278	86867451	+	17.6	0.000	intron (NM_019670, intron 20 of 27)	intron (NM_019670, intron 20 of 27)	273750	NM_019670	56419	Mm.440585	NM_019670	ENSMUSG00000022021	Diaph3	4930417P13Rik|Dia2|Diap3|Drf3|mDia2|mKIAA4117|p134MDia2	diaphanous related formin 3	protein-coding
chr5-95	chr5	118358804	118358977	+	17.6	0.000	Intergenic	Intergenic	113663	NM_001081236	76792	Mm.103428	NM_001081236		2410131K14Rik	-	RIKEN cDNA 2410131K14 gene	protein-coding
chr11-96	chr11	49085605	49085778	+	17.6	0.000	intron (NM_001271677, intron 1 of 2)	intron (NM_001271677, intron 1 of 2)	-1326	NM_008330	15953	Mm.24769	NM_008330	ENSMUSG00000078920	Ifi47	47kDa|IRG-47|Ifggc1|Igrd|Iigp4|Iipg4|Irgd	interferon gamma inducible protein 47	protein-coding
chr13-156	chr13	45581421	45581594	+	17.6	0.000	intron (NM_001199304, intron 5 of 6)	RSINE1|SINE|B4	74038	NM_025508	66355	Mm.290802	NM_025508	ENSMUSG00000000253	Gmpr	2310004P21Rik|AV028449|GMPR 1	guanosine monophosphate reductase	protein-coding
chr3-160	chr3	90247672	90247845	+	17.6	0.000	promoter-TSS (NM_013901)	promoter-TSS (NM_013901)	-434	NM_013901	30791	Mm.294709	NM_013901	ENSMUSG00000052310	Slc39a1	Zip1|Zirtl	solute carrier family 39 (zinc transporter), member 1	protein-coding
chr12-109	chr12	16920560	16920733	+	17.6	0.000	intron (NM_009072, intron 1 of 32)	L2a|LINE|L2	25668	NM_009072	19878	Mm.276024	NM_009072	ENSMUSG00000020580	Rock2	B230113H15Rik|ROKalpha|Rho-kinase|Rock-II|Rock2m|mKIAA0619	Rho-associated coiled-coil containing protein kinase 2	protein-coding
chr12-96	chr12	41089827	41090000	+	17.6	0.000	intron (NM_053122, intron 3 of 6)	intron (NM_053122, intron 3 of 6)	65823	NM_053122	93757	Mm.363813	NM_053122	ENSMUSG00000056899	Immp2l	AI853880|IMP2	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	protein-coding
chr10-68	chr10	99194750	99194923	+	17.6	0.000	intron (NM_027740, intron 11 of 11)	intron (NM_027740, intron 11 of 11)	-68395	NM_026268	67603	Mm.1791	NM_026268	ENSMUSG00000019960	Dusp6	1300019I03Rik|MKP-3|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
chr1-122	chr1	133841378	133841551	+	17.6	0.000	Intergenic	Intergenic	65709	NM_001160421	269120	Mm.59985	NM_054076	ENSMUSG00000010311	Optc	-	opticin	protein-coding
chr18-41	chr18	39730071	39730244	+	17.6	0.000	Intergenic	Intergenic	-43340	NM_011033	18459	Mm.9493	NM_011033	ENSMUSG00000051732	Pabpc2	Pabp|Pabp+|Pabp2	poly(A) binding protein, cytoplasmic 2	protein-coding
chr9-180	chr9	46149380	46149553	+	17.6	0.000	intron (NM_027498, intron 3 of 24)	B3|SINE|B2	-79164	NM_009692	11806	Mm.26743	NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding
chr16-59	chr16	33357959	33358132	+	17.6	0.000	Intergenic	Intergenic	22691	NR_045709	100502742	Mm.217880	NR_045709	ENSMUSG00000097318	1700007L15Rik	linc-Iqcg|linc1609	RIKEN cDNA 1700007L15 gene	ncRNA
chr18-69	chr18	81285633	81285806	+	17.6	0.000	Intergenic	Lx5b|LINE|L1	-299141	NM_178280	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	sal-like 3 (Drosophila)	protein-coding
chr13-87	chr13	30862981	30863154	+	17.6	0.000	intron (NM_025588, intron 22 of 27)	intron (NM_025588, intron 22 of 27)	84694	NM_153072	210554	Mm.450571	NM_153072	ENSMUSG00000076430	Hus1b	-	Hus1 homolog b (S. pombe)	protein-coding
chr3-153	chr3	97901825	97901998	+	17.6	0.000	intron (NM_011342, intron 1 of 4)	intron (NM_011342, intron 1 of 4)	684	NM_011342	20333	Mm.2551	NM_011342		Sec22b	4930564D15Rik|AA517334|AI480645|C81333|ERS-24|Sec22l1	SEC22 homolog B, vesicle trafficking protein	protein-coding
chr5-111	chr5	32854759	32854932	+	17.6	0.000	promoter-TSS (NM_194340)	promoter-TSS (NM_194340)	-615	NM_194340	215476	Mm.248721	NM_194340	ENSMUSG00000054280	Prr14l	6030436E02Rik|C330019G07Rik|Prl14l	proline rich 14-like	protein-coding
chr12-86	chr12	98900148	98900321	+	17.6	0.000	intron (NM_001081191, intron 1 of 43)	intron (NM_001081191, intron 1 of 43)	1250	NM_001081191	319670	Mm.390484	NM_001081191	ENSMUSG00000051166	Eml5	BC027154|C130068M19Rik	echinoderm microtubule associated protein like 5	protein-coding
chr14-37	chr14	20377394	20377567	+	17.6	0.000	intron (NM_001024512, intron 9 of 13)	intron (NM_001024512, intron 9 of 13)	11430	NM_134081	108671	Mm.2871	NM_134081	ENSMUSG00000021811	Dnajc9	5330419I01Rik|AU020082	DnaJ (Hsp40) homolog, subfamily C, member 9	protein-coding
chr16-54	chr16	4201812	4201985	+	17.6	0.000	intron (NM_001025432, intron 1 of 30)	Lx7|LINE|L1	11506	NM_001025432	12914	Mm.132238	NM_001025432	ENSMUSG00000022521	Crebbp	AW558298|CBP|CBP/p300|KAT3A|p300/CBP	CREB binding protein	protein-coding
chr12-125	chr12	48368972	48369145	+	17.6	0.000	Intergenic	Intergenic	-67596	NR_039586	100628593		NR_039586	ENSMUSG00000092981	Mir5125	mmu-mir-5125|mu-mir-5125	microRNA 5125	ncRNA
chr15-111	chr15	9580795	9580968	+	17.6	0.000	Intergenic	Intergenic	-51005	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr10-151	chr10	12990381	12990554	+	17.6	0.000	Intergenic	ORR1E|LTR|ERVL-MaLR	-17983	NM_175102	66125	Mm.29743	NM_175102		Sf3b5	10kDa|1110005L13Rik|AU043053|Sf3b10	splicing factor 3b, subunit 5	protein-coding
chr18-47	chr18	60542000	60542173	+	17.6	0.000	intron (NM_026302, intron 4 of 12)	intron (NM_026302, intron 4 of 12)	15865	NM_026302	67665	Mm.272801	NM_026302	ENSMUSG00000024603	Dctn4	1110001K06Rik|4930547K17Rik|C130039E17Rik|p62	dynactin 4	protein-coding
chr13-50	chr13	15803871	15804044	+	17.6	0.000	Intergenic	Intergenic	-1327	NR_045507	71071	Mm.380845	NR_045507		4933412O06Rik	-	RIKEN cDNA 4933412O06 gene	ncRNA
chr9-99	chr9	75558462	75558635	+	17.6	0.000	intron (NM_016963, intron 1 of 9)	intron (NM_016963, intron 1 of 9)	1109	NM_016963	50875	Mm.38445	NM_016963	ENSMUSG00000058587	Tmod3	U-Tmod|UTMOD	tropomodulin 3	protein-coding
chr13-75	chr13	43302610	43302783	+	17.6	0.000	intron (NM_001033399, intron 1 of 1)	intron (NM_001033399, intron 1 of 1)	1476	NM_001033399	328232	Mm.441399	NM_001033399	ENSMUSG00000051335	Gfod1	9630032O13|AI850995	glucose-fructose oxidoreductase domain containing 1	protein-coding
chr10-44	chr10	98878134	98878307	+	17.6	0.000	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-36932	NM_026482	67972	Mm.166944	NM_026482	ENSMUSG00000019943	Atp2b1	2810442I22Rik|E130111D10Rik|Pmca1	ATPase, Ca++ transporting, plasma membrane 1	protein-coding
chr5-152	chr5	36574940	36575113	+	17.6	0.000	intron (NM_001113362, intron 2 of 14)	MTC|LTR|ERVL-MaLR	7371	NM_133910	100855	Mm.486203	NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|AU043625|C86258|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding
chr2-90	chr2	103652843	103653016	+	17.6	0.000	intron (NM_178890, intron 1 of 16)	MER2|DNA|TcMar-Tigger	86619	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding
chr13-25	chr13	64315782	64315955	+	17.6	0.000	Intergenic	Intergenic	-3158	NM_025370	66129	Mm.491110	NM_025370	ENSMUSG00000021482	Aaed1	1110018J18Rik|AI849003	AhpC/TSA antioxidant enzyme domain containing 1	protein-coding
chr4-119	chr4	63939403	63939576	+	17.6	0.000	Intergenic	Intergenic	-78205	NM_009403	21949	Mm.4664	NM_009403		Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding
chr18-39	chr18	12585022	12585195	+	17.6	0.000	Intergenic	Intergenic	-58425	NM_028341	72747	Mm.52526	NM_028341	ENSMUSG00000024424	Ttc39c	1700008N02Rik|2810439F02Rik	tetratricopeptide repeat domain 39C	protein-coding
chr7-80	chr7	99036349	99036522	+	17.6	0.000	intron (NM_178635, intron 6 of 14)	intron (NM_178635, intron 6 of 14)	104709	NM_178635	78610	Mm.323072	NM_178635	ENSMUSG00000035354	Uvrag	9530039D02Rik|AI648770|BB124205|Uvrag1|Uvragl	UV radiation resistance associated gene	protein-coding
chr1-85	chr1	38662614	38662787	+	17.6	0.000	Intergenic	Intergenic	-35456	NM_001290814	16764	Mm.336679	NM_010678	ENSMUSG00000037138	Aff3	3222402O04Rik|A730046J16|LAF-4|Laf4	AF4/FMR2 family, member 3	protein-coding
chr11-112	chr11	19987154	19987327	+	17.6	0.000	intron (NM_033523, intron 1 of 5)	intron (NM_033523, intron 1 of 5)	62798	NM_033523	114716	Mm.266627	NM_033523	ENSMUSG00000045671	Spred2	C79158	sprouty-related, EVH1 domain containing 2	protein-coding
chr2-121	chr2	44956366	44956539	+	17.6	0.000	Intergenic	Intergenic	66725	NR_039591	100628598		NR_039591	ENSMUSG00000092679	Mir5129	mir-5129|mmu-mir-5129|mu-mir-5129	microRNA 5129	ncRNA
chr7-167	chr7	140348718	140348891	+	17.6	0.000	Intergenic	Lx8b|LINE|L1	-2817	NM_146955	18361	Mm.222844	NM_146955	ENSMUSG00000060112	Olfr60	IH6|MOR253-6	olfactory receptor 60	protein-coding
chr12-43	chr12	34521316	34521489	+	17.6	0.000	intron (NM_024124, intron 2 of 11)	(CA)n|Simple_repeat|Simple_repeat	7487	NM_024124	79221	Mm.310551	NM_024124	ENSMUSG00000004698	Hdac9	AV022454|D030072B18Rik|HD7B|HD9|HDRP|Hdac7b|Mitr|mKIAA0744	histone deacetylase 9	protein-coding
chrX-22	chrX	42059258	42059431	+	17.6	0.000	Intergenic	Intergenic	-8492	NM_009688	11798	Mm.259879	NM_009688	ENSMUSG00000025860	Xiap	1110015C02Rik|Aipa|Api3|Birc4|IAP3|ILP-1|MIHA	X-linked inhibitor of apoptosis	protein-coding
chr8-46	chr8	23209034	23209207	+	17.6	0.000	promoter-TSS (NM_018743)	promoter-TSS (NM_018743)	-667	NM_018743	102247	Mm.200898	NM_018743	ENSMUSG00000031545	Gpat4	AU041707|AW545732|Agpat6|Tsarg7	glycerol-3-phosphate acyltransferase 4	protein-coding
chr5-138	chr5	53420530	53420703	+	17.6	0.000	Intergenic	Intergenic	-135163	NM_001080928	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBP-Jkappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
chr1-89	chr1	87487108	87487281	+	17.6	0.000	intron (NM_001111314, intron 7 of 14)	intron (NM_001111314, intron 7 of 14)	16930	NM_028473	73234	Mm.7310	NM_028473	ENSMUSG00000026258	3110079O15Rik	Snorc	RIKEN cDNA 3110079O15 gene	protein-coding
chr3-49	chr3	21973222	21973395	+	17.6	0.000	Intergenic	Intergenic	-103344	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
chr4-102	chr4	148447274	148447447	+	17.6	0.000	Intergenic	Intergenic	-1222	NM_020009	56717	Mm.21158	NM_020009	ENSMUSG00000028991	Mtor	2610315D21Rik|AI327068|FRAP|FRAP2|Frap1|RAFT1|RAPT1|flat	mechanistic target of rapamycin (serine/threonine kinase)	protein-coding
chr5-33	chr5	148500626	148500799	+	17.6	0.000	Intergenic	Intergenic	52076	NM_011908	24109	Mm.21846	NM_011908	ENSMUSG00000001687	Ubl3	AW108023|HCG	ubiquitin-like 3	protein-coding
chr11-143	chr11	11834234	11834407	+	17.6	0.000	intron (NM_001190448, intron 9 of 14)	ORR1F|LTR|ERVL-MaLR	-25358	NM_001163359	60530	Mm.236114	NM_021891	ENSMUSG00000035455	Fignl1	-	fidgetin-like 1	protein-coding
chr2-79	chr2	32983662	32983835	+	17.6	0.000	Intergenic	Intergenic	-1692	NM_019488	56017	Mm.305754	NM_019488	ENSMUSG00000026791	Slc2a8	D2Ertd44e|GLUT8|GlutX1	solute carrier family 2, (facilitated glucose transporter), member 8	protein-coding
chr3-75	chr3	60603256	60603429	+	17.6	0.000	intron (NM_001253708, intron 3 of 8)	intron (NM_001253708, intron 3 of 8)	102090	NM_001253708	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
chr19-57	chr19	55139285	55139458	+	17.6	0.000	Intergenic	Intergenic	-39924	NM_008149	14732	Mm.210196	NM_008149	ENSMUSG00000024978	Gpam	GPAT|GPAT1	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding
chr16-133	chr16	90197065	90197238	+	17.6	0.000	Intergenic	Intergenic	-23591	NM_011434	20655	Mm.276325	NM_011434	ENSMUSG00000022982	Sod1	B430204E11Rik|Cu/Zn-SOD|CuZnSOD|Ipo-1|Ipo1|SODC|Sod-1	superoxide dismutase 1, soluble	protein-coding
chr7-73	chr7	67409513	67409686	+	17.6	0.000	Intergenic	Intergenic	-36741	NM_001033713	17258	Mm.132788	NM_001033713	ENSMUSG00000030557	Mef2a	A430079H05Rik	myocyte enhancer factor 2A	protein-coding
chr3-122	chr3	36862201	36862374	+	17.6	0.000	promoter-TSS (NM_172679)	promoter-TSS (NM_172679)	-819	NM_172679	229227	Mm.207907	NM_172679	ENSMUSG00000037270	4932438A13Rik	4732443H21|B830039D19Rik|D630029K19Rik|FSA|Kiaa1109|Tweek	RIKEN cDNA 4932438A13 gene	protein-coding
chr9-109	chr9	94678313	94678486	+	17.6	0.000	intron (NM_177909, intron 1 of 15)	intron (NM_177909, intron 1 of 15)	8507	NM_177909	331004	Mm.326125	NM_177909	ENSMUSG00000031129	Slc9a9	5730527A11Rik|9930105B05|AI854429|Nhe9	solute carrier family 9 (sodium/hydrogen exchanger), member 9	protein-coding
chr5-41	chr5	72649012	72649185	+	17.6	0.000	intron (NM_001081205, intron 1 of 5)	intron (NM_001081205, intron 1 of 5)	1302	NM_001081205	70701	Mm.38884	NM_001081205	ENSMUSG00000067219	Nipal1	3830408G10Rik|Npal1	NIPA-like domain containing 1	protein-coding
chr11-175	chr11	75128970	75129143	+	17.6	0.000	intron (NM_001002764, intron 13 of 18)	intron (NM_001002764, intron 13 of 18)	39096	NM_001098203	15248	Mm.57250	NM_010430	ENSMUSG00000043099	Hic1	AA408311|HIC-1	hypermethylated in cancer 1	protein-coding
chr13-99	chr13	6181705	6181878	+	17.6	0.000	Intergenic	Intergenic	320302	NM_011803	23849	Mm.275036	NM_011803	ENSMUSG00000000078	Klf6	AI448727|BCD1|C86813|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|R75280|Zf9	Kruppel-like factor 6	protein-coding
chr11-126	chr11	87754757	87754930	+	17.6	0.000	Intergenic	Intergenic	-2021	NR_029555	387160		NR_029555	ENSMUSG00000105196	Mir142	Mirn142|miR-142|mir-142a|mmu-mir-142|mmu-mir-142a	microRNA 142	ncRNA
